Date;WeekDay;KnownArtist;MajorEra;MinorEra;ConcertType
2012-06-19;úterý;známý;romantismus;romantismus;komorní
2012-06-28;čtvrtek;známý;20. století;romantismus;recitál
2012-07-17;úterý;méně známý;20. století;romantismus;komorní
2012-07-31;úterý;méně známý;romantismus;romantismus;komorní
2012-08-21;úterý;známý;20. století;20. století;komorní
2012-10-11;čtvrtek;méně známý;romantismus;20. století;komorní
2012-10-23;úterý;známý;romantismus;romantismus;recitál
2012-11-01;čtvrtek;známý;romantismus;20. století;komorní
2012-11-11;neděle;známý;20. století;20. století;komorní
2013-06-11;úterý;známý;baroko;baroko;hudba a tanec
2013-06-25;úterý;známý;baroko;20. století;komorní
2013-07-30;úterý;méně známý;romantismus;pozdní romantismus;komorní
2013-08-13;úterý;známý;cross over;cross over;hudba a tanec
2013-08-27;úterý;méně známý;20. století;romantismus;komorní
2013-10-08;úterý;méně známý;pozdní romantismus;20. století;komorní
2013-10-17;čtvrtek;méně známý;pozdní romantismus;20. století;komorní
2013-11-11;pondělí;méně známý;pozdní romantismus;romantismus;komorní
2013-11-17;neděle;známý;pozdní romantismus;romantismus;komorní
2014-05-05;pondělí;méně známý;romantismus;20. století;komorní
2014-06-25;středa;známý;romantismus;20. století;komorní
2014-08-12;úterý;známý;jazz;jazz;hudba a tanec
2014-08-26;úterý;známý;20. století;cross over;recitál
2014-09-09;úterý;známý;20. století;jazz;komorní
2014-11-11;úterý;známý;romantismus;romantismus;komorní
2014-10-09;čtvrtek;známý;romantismus;romantismus;komorní
2015-05-05;úterý;známý;20. století;20. století;hudba a slovo
2015-06-10;středa;méně známý;pozdní romantismus;klasicismus;komorní
2015-06-17;středa;známý;20. století;20. století;hudba a tanec
2015-07-30;čtvrtek;známý;cross over;cross over;hudba a tanec
2015-08-12;středa;méně známý;romantismus;20. století;komorní
2015-08-26;středa;známý;baroko;baroko;hudba a tanec
2015-09-08;úterý;známý;baroko;20. století;hudba a tanec
2015-10-15;čtvrtek;známý;20. století;20. století;komorní
2015-11-11;středa;méně známý;20. století;20. století;komorní
2015-11-30;pondělí;neznámý;romantismus;pozdní romantismus;recitál
2015-12-07;pondělí;známý;pozdní romantismus;20. století;komorní
2016-04-03;neděle;známý;baroko;baroko;komorní
2016-06-23;čtvrtek;méně známý;romantismus;20. století;komorní
2016-08-10;středa;známý;klasicismus;20. století;hudba a slovo
2016-08-23;úterý;méně známý;baroko;romantismus;recitál
2016-09-06;úterý;méně známý;baroko;romantismus;komorní
2016-10-24;pondělí;známý;romantismus;20. století;komorní
2016-11-10;čtvrtek;méně známý;20. století;20. století;komorní
2016-11-30;středa;méně známý;20. století;20. století;komorní
2017-06-22;čtvrtek;méně známý;romantismus;klasicismus;komorní
2017-07-27;čtvrtek;známý;jazz;jazz;hudba a tanec
2017-08-24;čtvrtek;méně známý;romantismus;romantismus;recitál
2017-09-06;středa;známý;klasicismus;romantismus;komorní
2017-09-19;úterý;méně známý;klasicismus;romantismus;komorní
2017-10-16;pondělí;známý;romantismus;baroko;komorní
2017-11-09;čtvrtek;známý;romantismus;romantismus;komorní
2017-12-14;čtvrtek;neznámý;romantismus;20. století;komorní
