"ID";"Date";"Price";"Amount"
14815;2013-01-01;300;1
14832;2013-01-01;370;1
14840;2013-01-02;200;1
14840;2013-01-02;160;1
14841;2013-01-02;600;1
13138;2013-01-03;450;1
14808;2013-01-04;450;1
14701;2013-01-04;300;1
10957;2013-01-04;300;1
14848;2013-01-04;120;1
14867;2013-01-05;170;1
14490;2013-01-06;120;1
14868;2013-01-06;1480;1
14896;2013-01-07;800;1
13637;2013-01-08;380;1
13655;2013-01-09;740;1
14862;2013-01-10;200;1
12758;2013-01-11;520;1
14932;2013-01-11;320;1
10816;2013-01-12;840;1
10816;2013-01-12;760;1
14941;2013-01-12;160;1
14960;2013-01-15;420;1
14977;2013-01-17;260;1
11657;2013-01-17;420;1
14970;2013-01-18;1040;1
15012;2013-01-21;390;1
15013;2013-01-21;520;1
13680;2013-01-22;940;1
15044;2013-01-27;780;1
15047;2013-01-28;740;1
14490;2013-01-28;520;1
15062;2013-01-30;160;1
12859;2013-01-30;460;1
15071;2013-01-31;760;1
15044;2013-02-02;260;1
15108;2013-02-04;450;1
15118;2013-02-05;920;1
15120;2013-02-05;840;1
15010;2013-02-05;440;1
15126;2013-02-05;600;1
15139;2013-02-08;740;1
15139;2013-02-08;920;1
15139;2013-02-08;800;1
15157;2013-02-09;300;1
15160;2013-02-10;540;1
15179;2013-02-13;900;1
15190;2013-02-14;900;1
15190;2013-02-14;150;1
15202;2013-02-16;520;1
14810;2013-02-16;420;1
14693;2013-02-16;920;1
12478;2013-02-17;420;1
15213;2013-02-18;440;1
14896;2013-02-19;740;1
15224;2013-02-19;2760;1
15227;2013-02-20;720;1
15237;2013-02-20;690;1
15237;2013-02-20;260;1
15255;2013-02-22;280;1
15258;2013-02-23;720;1
15268;2013-02-25;2000;1
15275;2013-02-26;800;1
15290;2013-02-27;2000;1
15328;2013-03-03;240;1
15139;2013-03-04;2260;1
15139;2013-03-04;360;1
15139;2013-03-04;960;1
15139;2013-03-04;2880;1
15374;2013-03-05;860;1
15328;2013-03-06;240;1
11116;2013-03-06;1260;1
15139;2013-03-07;1440;1
15416;2013-03-09;840;1
12478;2013-03-10;460;1
12478;2013-03-10;960;1
15416;2013-03-10;840;1
15443;2013-03-12;800;1
15444;2013-03-12;720;1
15444;2013-03-12;860;1
15447;2013-03-13;960;1
15434;2013-03-13;460;1
13604;2013-03-13;960;1
